week,mean,lo,hi,sim,method,Rt_true
21,0.4009213407863882,0.3757111735157999,0.4269385320766803,2,EpiEstim,0.30060171287108733
22,0.2337608140314535,0.2045243081542827,0.2649219974859932,2,EpiEstim,0.2917529168452906
23,0.4298556804071217,0.352956242052571,0.51422061653179,2,EpiEstim,0.2828126170726281
24,0.2936993090499744,0.2021690903790906,0.4020516776496052,2,EpiEstim,0.27388494348510345
25,0.2011207599424313,0.0808609765250822,0.3752187628367713,2,EpiEstim,0.26506410086086674
26,0.1410039382764222,0.0035699106343111,0.5201465308570435,2,EpiEstim,0.25643641988776505
27,2.462752777382955,0.0623515019305582,9.084798121050014,2,EpiEstim,0.2480776385796299
28,4.9963977346679584,0.1264978384594643,18.431108947998045,2,EpiEstim,0.24005344974820922
29,4.999999078957511,0.1265890166026725,18.44439387295496,2,EpiEstim,0.2324202681657496
30,5.0,0.1265890399214493,18.444397270569677,2,EpiEstim,0.22522627533758446
31,5.0,0.1265890399214493,18.444397270569677,2,EpiEstim,0.21851259325646236
32,5.0,0.1265890399214493,18.444397270569677,2,EpiEstim,0.21231447114481314
33,5.0,0.1265890399214493,18.444397270569677,2,EpiEstim,0.20666254780523782
34,5.0,0.1265890399214493,18.444397270569677,2,EpiEstim,0.20158414417067902
35,5.0,0.1265890399214493,18.444397270569677,2,EpiEstim,0.19710457977975548
36,5.0,0.1265890399214493,18.444397270569677,2,EpiEstim,0.19323348304473653
37,5.0,0.1265890399214493,18.444397270569677,2,EpiEstim,0.18992310206169255
38,5.0,0.1265890399214493,18.444397270569677,2,EpiEstim,0.18711715046664062
39,5.0,0.1265890399214493,18.444397270569677,2,EpiEstim,0.1847653049402522
40,5.0,0.1265890399214493,18.444397270569677,2,EpiEstim,0.18282219542568778
41,5.0,0.1265890399214493,18.444397270569677,2,EpiEstim,0.18124654068845464
42,5.0,0.1265890399214493,18.444397270569677,2,EpiEstim,0.18000040538776668
43,5.0,0.1265890399214493,18.444397270569677,2,EpiEstim,0.17904855956730256
44,5.0,0.1265890399214493,18.444397270569677,2,EpiEstim,0.17835792535392225
45,5.0,0.1265890399214493,18.444397270569677,2,EpiEstim,0.1778970988502123
46,5.0,0.1265890399214493,18.444397270569677,2,EpiEstim,0.17763593785540802
47,5.0,0.1265890399214493,18.444397270569677,2,EpiEstim,0.1775452082527049
48,5.0,0.1265890399214493,18.444397270569677,2,EpiEstim,0.17759628373777506
49,5.0,0.1265890399214493,18.444397270569677,2,EpiEstim,0.17776089509207918
50,5.0,0.1265890399214493,18.444397270569677,2,EpiEstim,0.1780109264679243
51,5.0,0.1265890399214493,18.444397270569677,2,EpiEstim,0.1783182571798556
52,5.0,0.1265890399214493,18.444397270569677,2,EpiEstim,0.17865464830820682
1,2.5198677208513143,2.141887562723617,2.897847878979011,2,POMP,1.724788578297241
2,2.360955671790474,2.006812321021903,2.715099022559045,2,POMP,1.7211740686968595
3,2.1673980578873535,1.8422883492042503,2.4925077665704563,2,POMP,1.716284404159195
4,1.9541602928767765,1.6610362489452597,2.2472843368082924,2,POMP,1.7085536138958068
5,1.7342879995109184,1.474144799584281,1.994431199437556,2,POMP,1.6943418922761952
6,1.518081535518456,1.2903693051906877,1.7457937658462244,2,POMP,1.664803656493744
7,1.3130929574519397,1.1161290138341486,1.5100569010697305,2,POMP,1.5995103765272645
8,1.1246985647739236,0.9559937800578352,1.293403349490012,2,POMP,1.4598100548531736
9,0.956600454350128,0.8131103861976087,1.100090522502647,2,POMP,1.2066916564080004
10,0.8107975154179521,0.6891778881052593,0.9324171427306448,2,POMP,0.879337365944721
11,0.687371020896661,0.5842653677621619,0.7904766740311601,2,POMP,0.6101393966114182
12,0.5847107050809113,0.4970040993187746,0.6724173108430479,2,POMP,0.4599178927987313
13,0.5002907730409378,0.4252471570847971,0.5753343889970784,2,POMP,0.39107348046996016
14,0.431432078802878,0.3667172669824463,0.4961468906233096,2,POMP,0.3602429002356031
15,0.3757251863957514,0.3193664084363887,0.4320839643551141,2,POMP,0.34455660779956493
16,0.3311458676245627,0.2814739874808783,0.3808177477682471,2,POMP,0.3343788523782273
17,0.296040398579481,0.2516343387925588,0.3404464583664032,2,POMP,0.32590800653480434
18,0.2690917955598809,0.2287280262258987,0.309455564893863,2,POMP,0.31768017683176764
19,0.2491505150700488,0.2117779378095415,0.2865230923305562,2,POMP,0.3092656372165763
20,0.2348475064594621,0.1996203804905427,0.2700746324283813,2,POMP,0.30060171287108733
21,0.2250941287749392,0.1913300094586983,0.2588582480911801,2,POMP,0.2917529168452906
22,0.2191233158992114,0.1862548185143297,0.2519918132840931,2,POMP,0.2828126170726281
23,0.2163972257968112,0.1839376419272895,0.2488568096663329,2,POMP,0.27388494348510345
24,0.2165439235347342,0.1840623350045241,0.2490255120649444,2,POMP,0.26506410086086674
25,0.2193128560469819,0.1864159276399346,0.2522097844540291,2,POMP,0.25643641988776505
26,0.2245424838191924,0.1908611112463135,0.2582238563920713,2,POMP,0.2480776385796299
27,0.2321356619897929,0.197315312691324,0.2669560112882618,2,POMP,0.24005344974820922
28,0.2420397437540162,0.2057337821909138,0.2783457053171186,2,POMP,0.2324202681657496
29,0.2542292702762159,0.2160948797347835,0.2923636608176483,2,POMP,0.22522627533758446
30,0.2686897082331734,0.2283862519981974,0.3089931644681494,2,POMP,0.21851259325646236
31,0.2854011345054219,0.2425909643296086,0.3282113046812352,2,POMP,0.21231447114481314
32,0.3043211309968776,0.2586729613473459,0.3499693006464092,2,POMP,0.20666254780523782
33,0.3253665050287956,0.2765615292744762,0.3741714807831149,2,POMP,0.20158414417067902
34,0.348393835771642,0.2961347604058957,0.4006529111373882,2,POMP,0.19710457977975548
35,0.3731792929081615,0.3172023989719372,0.4291561868443856,2,POMP,0.19323348304473653
36,0.3994668078300019,0.3395467866555016,0.4593868290045022,2,POMP,0.18992310206169255
37,0.4271917247435016,0.3631129660319764,0.4912704834550268,2,POMP,0.18711715046664062
38,0.4563319544690527,0.3878821612986948,0.5247817476394105,2,POMP,0.1847653049402522
39,0.4868462128276908,0.4138192809035372,0.5598731447518444,2,POMP,0.18282219542568778
40,0.5186716648084172,0.4408709150871546,0.5964724145296797,2,POMP,0.18124654068845464
41,0.5517216284823384,0.4689633842099876,0.6344798727546891,2,POMP,0.18000040538776668
42,0.5858834124918185,0.4980009006180457,0.6737659243655912,2,POMP,0.17904855956730256
43,0.6210163714183714,0.5278639157056156,0.7141688271311271,2,POMP,0.17835792535392225
44,0.6569502727231072,0.5584077318146411,0.7554928136315733,2,POMP,0.1778970988502123
45,0.6934840765765139,0.5894614650900368,0.797506688062991,2,POMP,0.17763593785540802
46,0.7303852349984264,0.6208274497486624,0.8399430202481903,2,POMP,0.1775452082527049
47,0.767389618519987,0.652281175741989,0.882498061297985,2,POMP,0.17759628373777506
